	name	R	A	S
33	LAMY 5	-50.54166666666666	-3.5	-25.166666666666657
34	LAMY 6	-54.52380952380952	-2.5714285714285694	-25.38095238095238
35	LAMY 7	-59.08333333333334	-3.25	-25.5
36	LPHG 1	-34.85106382978722	-21.276595744680847	-21.829787234042556
37	LPHG 2	-40.848484848484844	-23.787878787878782	-22.0
38	LPHG 3	-48.8125	-25.9375	-21.4375
39	RAHP 1	21.787878787878782	-15.030303030303031	-25.75757575757575
40	LACN 1	-6.758620689655174	16.896551724137936	24.034482758620683
41	LACN 2	-13.764705882352928	19.0	25.67647058823529
42	LACN 3	-21.166666666666657	19.833333333333343	24.75
43	LACN 4	-28.0	20.875	24.200000000000003
44	LACN 5	-36.734693877551024	20.775510204081627	23.877551020408163
45	LACN 6	-40.75641025641025	23.512820512820525	24.782051282051285
46	LACN 7	-46.86956521739131	25.043478260869563	24.991304347826087
47	LACN 8	-57.17610062893081	29.616352201257854	26.729559748427675
48	LOFC 1	-19.916030534351137	57.0	-18.572519083969468
49	LOFC 2	-25.22689075630251	52.70588235294119	-17.52100840336135
50	LOFC 3	-28.431372549019613	49.470588235294116	-13.64705882352942
51	LOFC 4	-33.5952380952381	46.4047619047619	-11.0
52	LOFC 5	-38.758620689655174	42.51724137931035	-8.620689655172413
53	LOFC 6	-43.574074074074076	38.59259259259258	-2.944444444444457
54	LOFC 7	-48.25	35.113636363636374	2.4772727272727337
55	LOFC 8	-52.0	31.349206349206355	8.42857142857143
56	LOFC 9	-57.29746835443038	28.74683544303798	12.816455696202539
57	LPCN 1	-9.326086956521749	-54.73913043478261	9.891304347826093
58	LPCN 2	-14.416666666666657	-56.66666666666667	12.25
59	LPCN 3	-19.424242424242436	-60.515151515151516	14.63636363636364
60	LPCN 4	-29.30000000000001	-63.05	15.400000000000006
61	LPCN 5	-36.125	-65.70833333333334	13.791666666666671
62	LPCN 6	-42.639999999999986	-68.44	13.200000000000003
63	LPCN 7	-47.0	-70.6	14.0
64	LSMA 1	-34.94999999999999	4.349999999999994	-19.349999999999994
